"","BroodID","FemaleRing","MaleRing","ClutchSize","EggNumber"
"1","1000","M005977","M011624",5,2
"2","1001","M011649","M011856",7,4
"3","1003","M011232",NA,4,4
"4","1004","M007980","M011625",6,2
"5","1005","M011636","M005264",5,2
"6","1006","M011636","M005264",5,5
"7","1008","M006922","894985",6,4
"8","1009","M011633","M005442",8,6
"9","1010","889984","887328",5,4
"10","1011","M007485","M001377",6,5
"11","1014","M011957","M011956",7,5
"12","1016","M005090","898054",5,5
"13","1017","M011218","M003801",5,4
"14","1018","M000376","M005093",6,6
"15","1019","M011639","M005186",5,5
"16","1021","M005415","M011233",5,1
"17","1023","M011186","M011787",4,4
"18","1025","M005469","M005437",5,3
"19","1026","M008461","M011343",6,6
"20","1027","M011634","M011635",4,2
"21","1029","M005980","M011648",7,5
"22","1030","M011628","M011234",6,6
"23","1031","M011955","M001127",6,6
"24","1033","M011128","M005236",6,2
"25","1035",NA,NA,7,3
"26","1037","M011623","M011622",4,2
"27","1039","898887","889746",4,4
"28","1041","881115","870404",7,3
"29","1042","M004500","M011247",7,7
"30","1044","M011631","889131",5,3
"31","1045","M011987","M011884",7,6
"32","1046","M011923","M011930",8,8
"33","1047","M005439",NA,5,4
"34","1049","M011132","M011223",7,5
"35","1051","M008484","M011005",5,4
"36","1052","M011637","M011202",4,4
"37","1053","894984","M011865",7,5
"38","1054","M011931","M005424",6,6
"39","1058","M011010","M011237",7,6
"40","1059","M011638","889377",7,5
"41","1060","M005463","M005975",6,5
"42","1064","M011645","M011236",5,1
"43","1065","M011734","M011103",7,6
"44","1072","M011640","889379",7,5
"45","1073","898630","M001670",5,2
"46","1075","M011822","M011802",6,6
"47","1077","M003800","887328",7,3
"48","1078",NA,NA,0,2
"49","1079","M005415","M003801",5,6
"50","1080","M011804","M011787",7,7
"51","1081","M011800","M011831",6,9
"52","1082","M005469","M001670",0,1
"53","1083","M011819","M001920",5,5
"54","1084","M011817","M011019",6,6
"55","1086","M005469","M001670",6,4
"56","1088","M004500","M011816",6,5
"57","1089","M011771","M011005",4,2
"58","1090","M011815","M011814",5,4
"59","1091","M011821","M000373",4,4
"60","1092","M011771","M011005",2,2
"61","1093",NA,NA,0,1
"62","1094","M005415","M011827",10,3
"63","1096","M011818","M011236",5,5
"64","1097","890843","889379",5,3
"65","1099","867102","867125",7,6
"66","1102","888114","889635",8,1
"67","1106","874613",NA,10,6
"68","1108","889261",NA,3,3
"69","1110","M001624",NA,6,6
"70","1111","889804",NA,6,4
"71","1112","874613",NA,3,3
"72","1116","895274","889776",9,5
"73","1117","M022163","M022162",5,3
"74","1118","M021223","M011832",9,2
"75","1119","M001631",NA,8,8
"76","1120","M022165","M022164",6,5
"77","1121","M011817","M011685",8,8
"78","1123","M022165","M022757",6,3
"79","1124","M014483",NA,5,5
"80","1127","M004500","M011816",7,5
"81","1128","M005469","M011060",8,3
"82","1129","M011679","M011680",9,4
"83","1130","898630","M001670",6,6
"84","1131","M011820","M011019",5,5
"85","1132","M022647","M004777",6,2
"86","1133","M022001","M011787",5,3
"87","1134","M022153","887328",6,6
"88","1135","M012772","M001920",4,4
"89","1136","M022166","M005424",6,6
"90","1137","M011771","M011005",6,5
"91","1138","896382","M022758",7,7
"92","1139","M022156","M020867",6,1
"93","1140","M022152","M020507",9,9
"94","1141","M022155","M011681",4,4
"95","1143","M020511","M022393",7,7
"96","1144","M011725","M012646",6,1
"97","1145","M014481","M022385",8,7
"98","1146","M022154","M011827",7,6
"99","1147","M022160","M022161",7,6
"100","1148","M022167","M011832",7,8
"101","1149","EA166300","M022782",6,3
"102","1150","M022756","M022024",4,1
"103","1151","EA696866","M011236",4,1
"104","1152","M001631","M014482",9,1
"105","1153","895274","889776",9,9
"106","1154","M005415","M003801",8,6
"107","1155","M011817","M011685",8,7
"108","1156","M011771","M022788",9,5
"109","1157","M004500","M011816",8,8
"110","1158","M022001","M011787",5,5
"111","1159","M022166","M011236",8,8
"112","1160","M022789","M022039",7,7
"113","1161","898630","M001670",7,7
"114","1181","898630","M001670",8,8
"115","1182",NA,NA,0,2
"116","1183","M022183","M022580",7,7
"117","1184","895286","M026286",4,4
"118","1185","M022166","M011236",8,8
"119","1186","M014948","M022039",6,6
"120","1187","M022153","887328",6,2
"121","1188","M005415","M003801",5,5
"122","1189","M005415","M003801",8,9
"123","1190","M014481","M012646",7,8
"124","1191","M022674","M022393",9,10
"125","1192","M004500","M011816",7,5
"126","1193","M022680","M022174",4,4
"127","1194","M022680","M022174",6,6
"128","1196","M011817","889776",7,8
"129","1197","M026260","M022581",9,10
"130","1198","M022177","M011060",5,6
"131","1199","M022193","M005424",7,5
"132","1200","M004500","M011816",7,7
"133","1201","M026257",NA,8,8
"134","1202","M022674","M022393",6,6
"135","1204","M022958","M011681",6,6
"136","1205","M022690","M022788",8,8
"137","1206","M022695","M011832",8,6
"138","1207","M022166","M011236",8,7
"139","1210","M022647","M022195",8,8
"140","1211","M022154","M011827",4,5
"141","1212","M022699","M020320",4,5
"142","1213","M022700","M022186",5,6
"143","1214","M022154","M011827",7,8
"144","1215","M012772","M026251",7,15
"145","1216","M005469","M011060",5,5
"146","1217","M020873","M022577",5,4
"147","1218",NA,NA,0,2
"148","1219","M022666","M022386",6,7
"149","1220",NA,NA,9,9
"150","1222",NA,NA,6,8
"151","1223","M022689","M022353",6,6
"152","1224","M022688","M000373",7,13
"153","1225","M022688","M000373",5,8
"154","1226","M006151","895280",8,4
"155","1227","M020873","M022577",0,3
"156","1230","M022958","M005424",8,8
"157","1231","M026270","891245",6,6
"158","1232","M022490","891245",6,7
"159","1233","M026254","M010954",6,3
"160","1234","M026253","M022355",6,4
"161","1236","M026255","M020867",8,2
"162","1237","M026256","M022161",6,4
"163","1238","M011803","M022563",7,4
"164","1239","M026252","M020305",7,9
"165","1240","M022389","M022355",7,7
"166","1241","M022700","M011832",6,4
"167","1243","M004500","M011816",8,8
"168","1244","M020581","M026265",6,5
"169","1245","M022971","M022580",8,8
"170","1246","M022126",NA,6,4
"171","1247","M006151","M022353",7,7
"172","1248","M022154","M011827",7,2
"173","1249","890843",NA,8,8
"174","1250","895274","M011019",9,9
"175","1251","M011803",NA,8,3
"176","1252","M022647","M001670",8,6
"177","1253","M026073","M022096",7,7
"178","1254","M014481","M022131",6,6
"179","1255","M014948","M022581",7,8
"180","1256","M005415","M026075",8,4
"181","1257","M022066","M026360",10,10
"182","1258","M022680","M011681",7,7
"183","1259","M022958","M005424",7,4
"184","1260","M006491","M006488",8,8
"185","1261","M022193","M022186",6,3
"186","1263","M026076","M022039",4,4
"187","1264","M026262","M022100",6,4
"188","1265","M026394","M026204",5,4
"189","1266","M026077","M020580",7,3
"190","1267","M026079","M026078",7,7
"191","1268","M012660",NA,5,5
"192","1269","M026080","M026276",8,7
"193","1270","M026157","M022055",7,6
"194","1271","M022135","M022113",6,5
"195","1272","M026201","M022195",6,6
"196","1273","M026258","M012595",5,5
"197","1274","M026158","887328",6,6
"198","1275","M026159",NA,9,4
"199","1276","M026029","M026160",8,8
"200","1277","M022666","M026161",7,7
"201","1279","M022389","M022355",7,7
"202","1280","M026266","M026041",5,4
"203","1281","M026255","M020867",6,6
"204","1282","M014581","M026162",7,6
"205","1283","M026163","M022673",6,7
"206","1284","M010986","M026230",6,6
"207","1285","M026164","M022369",8,8
"208","1286","M026165","889776",8,5
"209","1287","M014906","M026286",7,7
"210","1288","M026166","M011832",7,7
"211","1289","M026167","M022121",7,3
"212","1290","M001958",NA,6,6
"213","1291","M026257","M026241",6,3
"214","1292","M022963","M026602",10,4
"215","1293","M005469","M026460",7,3
"216","1294","M022177","M020882",8,8
"217","1295","M026174",NA,5,2
"218","1296","M010965",NA,6,6
"219","1297","M020884","M026555",4,2
"220","1298","M026175","M026555",4,4
"221","1299","M027000","M010971",6,3
"222","1300","M020881","M026370",8,1
"223","1301","M022108","M000373",4,3
"224","1302","M026176","M022577",6,3
"225","1303","M022107","M026285",6,6
"226","1304","M006493",NA,7,7
"227","1305","M026177",NA,6,6
"228","1306","M026178",NA,5,3
"229","1307","M026016","M026179",6,7
"230","1308","M026392","M022673",5,2
"231","1309","M006492",NA,3,4
"232","1310","M022114",NA,4,2
"233","1311","M026365","M026180",6,4
"234","1312","M026031","M006413",3,3
"235","1313","M026181","M026182",8,8
"236","1314","M022166","M026359",7,8
"237","1315","M026644","M026903",5,4
"238","1316","M012772","M026251",6,1
"239","1317","M026186","M026202",10,8
"240","1318","M026729","M026399",8,5
"241","1319","M022694","M026555",5,5
"242","1320","M006459","M026918",8,8
"243","1321","M026459",NA,5,1
"244","1322","M026724","M011236",8,8
"245","1323","M022140","M026161",4,4
"246","1325","M026049",NA,6,6
"247","1333",NA,NA,7,3
"248","1334","M011803","M022563",11,1
"249","1335","M022490","M020583",7,6
"250","1336","M022129","M012591",8,5
"251","1337","M026254","M010954",9,4
"252","1338","M026700",NA,8,8
"253","1339","M022114",NA,8,8
"254","1340","M026167","M022121",12,5
"255","1341","M001958","M022054",7,6
"256","1342","M022119",NA,9,7
"257","1343","M026686","M026685",8,8
"258","1344","M026157","M000373",7,7
"259","1345","M022958","M005424",6,6
"260","1346","M026394","M026357",5,5
"261","1347","M022680","M011681",6,3
"262","1348","M026459","M006413",6,6
"263","1349","M026901","M026902",12,10
"264","1350","M026049","M022103",7,7
"265","1351","M014948","M022581",9,9
"266","1353","M014481","M022131",7,7
"267","1354","M026164","M022369",9,9
"268","1356","M022666","M026161",7,5
"269","1357","M020869","M020870",9,8
"270","1358","M006170","M026043",7,7
"271","1359","M006492",NA,9,9
"272","1360","M026176",NA,8,8
"273","1361","M026920","M026919",10,10
"274","1362","M022958","M005424",6,6
"275","1363","M026158","M032151",7,7
"276","1364","M004500","M001670",5,2
"277","1365","M026174",NA,6,6
"278","1366","M026079",NA,4,2
"279","1367","M012660","M022065",7,1
"280","1368",NA,"M026182",0,1
"281","1369","M022135","M022113",7,2
"282","1370","M026255",NA,6,4
"283","1371","M026177","M026555",8,6
"284","1374","M027889","M026478",5,1
"285","1375","M026980","M026078",5,5
"286","1376","M027000",NA,4,4
"287","1377","M026981","M026622",6,6
"288","1378","M001989","M026399",6,3
"289","1379","M022647","M022353",6,5
"290","1380","M020884",NA,3,2
"291","1381","M001649","M022955",5,2
"292","1383","M026901","M032051",6,4
"293","1384","M026080","M026075",7,3
"294","1385","M022177","M022673",5,5
"295","1386","M026901","M032051",8,5
"296","1387","M022647","M026265",7,3
"297","1388","M026255","M006413",5,4
"298","1389","M026985","M032002",7,5
"299","1392","M026980","M026078",7,3
"300","1394","M026459","M006413",4,4
"301","1395","M026582","M032251",6,5
"302","1396","M026583","M026361",7,2
"303","1397","M010969","M032025",6,4
"304","1398","M022963","M026555",7,1
"305","1399","M022694","M026075",8,6
"306","1400","M026473",NA,5,3
"307","1401","M026986","M022673",7,5
"308","1402","M022153","M026577",7,7
"309","1403","M027866",NA,7,7
"310","1404","M020884","M021009",6,6
"311","1405","M032026","M022964",8,5
"312","1406","M026255","M032042",10,9
"313","1407","M010969","M027954",9,8
"314","1408","M026459","M006413",6,4
"315","1410","M026901",NA,8,5
"316","1411","M026985","M032002",10,1
"317","1412","M026473","M032052",7,3
"318","1413","M014948","M032203",8,1
"319","1415","M027866","M004351",4,4
"320","1416","M022647","M026265",10,2
"321","1417",NA,"M012591",8,8
"322","1418","M026986","M026316",8,7
"323","1419","M032154","M032053",8,4
"324","1420","M004500","M022133",8,5
"325","1421","M022647","M026399",7,5
"326","1422","M032219","M032220",6,6
"327","1423","M004207","M032051",7,4
"328","1424","M026986","M032218",7,2
"329","1425","M014948","M022113",5,4
"330","1426","M026255","M032042",5,9
"331","1427","M022861","M026832",7,3
"332","1428","M022098","M012591",7,3
"333","1429","M022891","M022888",7,6
"334","1431","M032228","M032203",5,1
"335","1432","M027970","M032251",6,4
"336","1433","M026459","M027966",5,5
"337","1434","M022153","M026577",6,5
"338","1435","M032041","M022673",4,4
"339","1436","M028783","M032252",5,5
"340","1437","M032221","M026835",4,3
"341","1438","M034529","M026276",4,3
"342","1439","M032222","M032040",4,4
"343","1440","M022694","M011816",6,6
"344","1441","M032231","M032348",7,3
"345","1442","M010969","M032002",5,1
"346","1443","M032208","M032440",5,4
"347","1445",NA,NA,5,5
"348","1446","M032045","M028786",6,5
"349","1448","M032229","M032362",6,2
"350","1449","M032230","M026075",7,1
"351","1450","M032246",NA,7,4
"352","1451","M017312","M026816",7,2
"353","1452","M032248","M032249",5,5
"354","1453","M032247","M022885",6,5
"355","1454","M032043","M022894",4,3
"356","1455","M032124","M033603",5,5
"357","1456","M032131","M022879",9,5
"358","1457","M022866","M026361",6,6
"359","1459","M027866","M004351",5,4
"360","1461","M032347","M034517",7,3
"361","1462","M032314","M004206",6,3
"362","1463","M032228","M032203",8,4
"363","1464","M022647","M026399",6,3
"364","1465","M028884","M022186",8,8
"365","1467","M032015","M022859",9,6
"366","1468","M026473","M032052",6,3
"367","1469","M032208","M032440",6,1
"368","1470","M026986","M026825",7,6
"369","1471","M032371","M026629",3,1
"370","1472","M032043","M022894",5,4
"371","1473","M032414",NA,6,5
"372","1474","M022098","M032249",8,5
"373","1476","M026849","M004206",6,4
"374","1477","M032401",NA,6,5
"375","1478","M032219","M032220",8,5
"376","1480","M032222","M026816",9,8
"377","1481","M026459","M027966",5,4
"378","1483","M032221","M032484",8,4
"379","1484","M032124","M033603",6,5
"380","1485","M032414",NA,0,1
"381","1486","M017312","M026816",7,6
"382","1487","M004207","M032051",11,9
"383","1488","M032230","M026075",7,2
"384","1489","M028783","M032252",7,3
"385","1490","M032499","M020488",6,3
"386","1491","M022866","M032003",9,6
"387","1493","M032229","M032362",9,6
"388","1494","M032478","M031523",7,1
"389","1495","M022858","M022855",6,6
"390","1496","M014948","M022113",7,5
"391","1497","M022153","M026577",6,5
"392","1498","M022647","M026399",6,5
"393","1499","M027981",NA,7,4
"394","1500","M010969","M032484",6,5
