LayingDate,BroodID,SiteNo,SiteName,Season,DaysAfterJan1,VisitDate,Visit,ClutchSize,EggNo,EggRank,EggLength,EggWidth,EggVolume,EggMass,FemaleRing,MaleRing,BellyPointNo,BellyPointAvg,BreastPointNo,BreastPointAvg,TotalPoints,TotalAvgPoints,WingLength,CrossFosteredToday,Crossfostered,YF,YM,YearlingF,YearlingM,Last30Temp,Last30Precip
35128,322,24,Corcelles CimAlpes,1996,63,27/03/1996,1,3,2,NA,40.1,29.34,18.07437189,19,861253,871360,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Older Adult,NA,0,-0.07,28.9
35128,322,24,Corcelles CimAlpes,1996,63,27/03/1996,1,3,3,NA,39.43,29.62,18.11321357,19,861253,871360,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Older Adult,NA,0,-0.07,28.9
35128,322,24,Corcelles CimAlpes,1996,63,27/03/1996,1,3,1,NA,36.91,29.06,16.32051607,16,861253,871360,NA,NA,NA,NA,NA,NA,NA,0,0,NA,Older Adult,NA,0,-0.07,28.9
35141,372,110,StAubin Hangar,1996,76,26/04/1996,1,6,1,NA,36.7,30.5,17.87575383,16,865301,870445,26,18.34,38,19.19,64,18.8446875,300,0,0,Older Adult,Older Adult,0,0,0.642,3.9
35141,372,110,StAubin Hangar,1996,76,26/04/1996,1,6,2,NA,35.3,30.6,17.30677632,15.6,865301,870445,26,18.34,38,19.19,64,18.8446875,300,0,0,Older Adult,Older Adult,0,0,0.642,3.9
35146,311,8,Avenches Vuagere,1996,81,28/04/1996,3,4,2,NA,37.5,30.2,17.90786352,NA,865740,864453,30,22.8,47,20.8,77,21.57922078,304,0,0,Older Adult,Older Adult,0,0,1.549,9.5
35146,311,8,Avenches Vuagere,1996,81,28/04/1996,3,4,1,NA,36.5,30.8,18.1297961,16.2,865740,864453,30,22.8,47,20.8,77,21.57922078,304,0,0,Older Adult,Older Adult,0,0,1.549,9.5
35146,311,8,Avenches Vuagere,1996,81,28/04/1996,3,4,2,1,39.3,30.5,19.14215601,NA,865740,864453,30,22.8,47,20.8,77,21.57922078,304,0,0,Older Adult,Older Adult,0,0,1.549,9.5
35146,311,8,Avenches Vuagere,1996,81,28/04/1996,3,4,3,5,40.1,30.6,19.66010568,NA,865740,864453,30,22.8,47,20.8,77,21.57922078,304,0,0,Older Adult,Older Adult,0,0,1.549,9.5
35146,311,8,Avenches Vuagere,1996,81,28/04/1996,3,4,4,NA,38.7,30.3,18.60350796,NA,865740,864453,30,22.8,47,20.8,77,21.57922078,304,0,0,Older Adult,Older Adult,0,0,1.549,9.5
35146,311,8,Avenches Vuagere,1996,81,28/04/1996,3,4,5,NA,39.8,33,22.69392285,NA,865740,864453,30,22.8,47,20.8,77,21.57922078,304,0,0,Older Adult,Older Adult,0,0,1.549,9.5
35146,311,8,Avenches Vuagere,1996,81,28/04/1996,3,4,3,NA,39.7,30.2,18.95845818,NA,865740,864453,30,22.8,47,20.8,77,21.57922078,304,0,0,Older Adult,Older Adult,0,0,1.549,9.5
35146,311,8,Avenches Vuagere,1996,81,28/04/1996,3,4,1,1,38.8,30.7,19.14728047,NA,865740,864453,30,22.8,47,20.8,77,21.57922078,304,0,0,Older Adult,Older Adult,0,0,1.549,9.5
35149,354,79,Montet,1996,84,22/04/1996,4,6,3,NA,37.78,30.56,18.47426954,16.9,865815,862890,26,19.72,39,20.96,65,20.464,298,0,0,Older Adult,Older Adult,0,0,2.968,9.1
35149,354,79,Montet,1996,84,22/04/1996,4,6,4,NA,37.68,30.98,18.93530667,17.6,865815,862890,26,19.72,39,20.96,65,20.464,298,0,0,Older Adult,Older Adult,0,0,2.968,9.1
35149,354,79,Montet,1996,84,22/04/1996,4,6,2,6,35.88,30.72,17.72937718,14.4,865815,862890,26,19.72,39,20.96,65,20.464,298,0,0,Older Adult,Older Adult,0,0,2.968,9.1
35149,354,79,Montet,1996,84,22/04/1996,4,6,6,NA,39.94,30.14,18.99735677,18,865815,862890,26,19.72,39,20.96,65,20.464,298,0,0,Older Adult,Older Adult,0,0,2.968,9.1
35149,354,79,Montet,1996,84,22/04/1996,4,6,5,NA,37.46,31.1,18.97086674,16.9,865815,862890,26,19.72,39,20.96,65,20.464,298,0,0,Older Adult,Older Adult,0,0,2.968,9.1
35149,354,79,Montet,1996,84,22/04/1996,4,6,1,NA,37.42,30.78,18.56263548,16.6,865815,862890,26,19.72,39,20.96,65,20.464,298,0,0,Older Adult,Older Adult,0,0,2.968,9.1
35149,359,89,Oleyres,1996,84,17/04/1996,3,5,1,NA,37.6,30.8,18.67617352,18.3,871595,871963,10,8.59,11,6.39,21,7.437619048,306,0,0,Older Adult,Older Adult,0,0,2.968,9.1
35149,359,89,Oleyres,1996,84,17/04/1996,3,5,4,NA,38,30.7,18.75249118,17.6,871595,871963,10,8.59,11,6.39,21,7.437619048,306,0,0,Older Adult,Older Adult,0,0,2.968,9.1
35149,359,89,Oleyres,1996,84,17/04/1996,3,5,5,NA,37.6,30.5,18.31412381,17.9,871595,871963,10,8.59,11,6.39,21,7.437619048,306,0,0,Older Adult,Older Adult,0,0,2.968,9.1
35149,359,89,Oleyres,1996,84,17/04/1996,3,5,3,NA,36.7,30.1,17.40995617,17.3,871595,871963,10,8.59,11,6.39,21,7.437619048,306,0,0,Older Adult,Older Adult,0,0,2.968,9.1
35149,359,89,Oleyres,1996,84,17/04/1996,3,5,2,NA,37.9,30.4,18.33939478,18.1,871595,871963,10,8.59,11,6.39,21,7.437619048,306,0,0,Older Adult,Older Adult,0,0,2.968,9.1
35151,345,66,Jeuss,1996,86,13/04/1996,1,5,5,NA,39,31.3,20.00561489,19.5,865492,NA,21,18.94,38,17.49,59,18.00610169,300,0,0,Older Adult,NA,0,NA,3.384,18.3
35151,345,66,Jeuss,1996,86,13/04/1996,1,5,2,NA,38.5,31.5,20.00232408,19.8,865492,NA,21,18.94,38,17.49,59,18.00610169,300,0,0,Older Adult,NA,0,NA,3.384,18.3
35151,345,66,Jeuss,1996,86,13/04/1996,1,5,3,NA,37.7,30.5,18.36283159,18.3,865492,NA,21,18.94,38,17.49,59,18.00610169,300,0,0,Older Adult,NA,0,NA,3.384,18.3
35151,345,66,Jeuss,1996,86,13/04/1996,1,5,4,NA,38.9,30.4,18.82328383,17.8,865492,NA,21,18.94,38,17.49,59,18.00610169,300,0,0,Older Adult,NA,0,NA,3.384,18.3
35152,380,124,Wallenried Blan,1996,87,20/04/1996,2,6,5,6,39.3,29.15,17.48510686,17,871409,861575,26,10.88,55,11.11,81,11.03617284,294,0,0,Older Adult,Older Adult,0,0,3.393,18.3
35152,380,124,Wallenried Blan,1996,87,20/04/1996,2,6,4,1,40.5,30.15,19.27650425,19.6,871409,861575,26,10.88,55,11.11,81,11.03617284,294,0,0,Older Adult,Older Adult,0,0,3.393,18.3
35152,380,124,Wallenried Blan,1996,87,20/04/1996,2,6,3,5,38.7,30,18.23694535,18.5,871409,861575,26,10.88,55,11.11,81,11.03617284,294,0,0,Older Adult,Older Adult,0,0,3.393,18.3
35152,380,124,Wallenried Blan,1996,87,20/04/1996,2,6,6,3,39.45,30.2,18.83907243,18.8,871409,861575,26,10.88,55,11.11,81,11.03617284,294,0,0,Older Adult,Older Adult,0,0,3.393,18.3
35152,380,124,Wallenried Blan,1996,87,20/04/1996,2,6,1,1,39.3,30.15,18.70534857,18.1,871409,861575,26,10.88,55,11.11,81,11.03617284,294,0,0,Older Adult,Older Adult,0,0,3.393,18.3
35152,380,124,Wallenried Blan,1996,87,20/04/1996,2,6,2,4,41.2,29.55,18.83695971,19.1,871409,861575,26,10.88,55,11.11,81,11.03617284,294,0,0,Older Adult,Older Adult,0,0,3.393,18.3
35152,370,107,Seiry,1996,87,16/04/1996,1,2,2,NA,37.2,29.1,16.49405886,15.9,871646,863667,27,16.1,26,15.28,53,15.69773585,300,0,0,Older Adult,Older Adult,0,0,3.393,18.3
35152,370,107,Seiry,1996,87,16/04/1996,1,2,1,NA,37.7,29.3,16.94631259,16.7,871646,863667,27,16.1,26,15.28,53,15.69773585,300,0,0,Older Adult,Older Adult,0,0,3.393,18.3
35153,361,91,Payerne chomiau,1996,88,30/04/1996,4,4,4,NA,39.52,30.14,18.79758486,16.7,871378,858930,27,20.08,40,18.42,67,19.08895522,290,0,0,Older Adult,Older Adult,0,0,3.362,18.3
35153,361,91,Payerne chomiau,1996,88,30/04/1996,4,4,1,NA,41.02,29.32,18.46384775,13,871378,858930,27,20.08,40,18.42,67,19.08895522,290,0,0,Older Adult,Older Adult,0,0,3.362,18.3
35153,361,91,Payerne chomiau,1996,88,30/04/1996,4,4,2,NA,39.9,30.08,18.90284538,17,871378,858930,27,20.08,40,18.42,67,19.08895522,290,0,0,Older Adult,Older Adult,0,0,3.362,18.3
35153,361,91,Payerne chomiau,1996,88,30/04/1996,4,4,3,NA,39.2,29.04,17.30923656,14.8,871378,858930,27,20.08,40,18.42,67,19.08895522,290,0,0,Older Adult,Older Adult,0,0,3.362,18.3
